               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085974,            0.028286,            0.027198,           0.0016063,             0.45959,            0.001355,          0.00029847,            0.073207,            0.019437,            0.026138,            0.070023,           0.0033308,           0.0033308
                   1,            0.077267,            0.026933,              0.0259,             0.01514,             0.36931,            0.015439,           0.0036309,            0.062225,            0.021297,            0.024581,            0.039982,           0.0066229,           0.0066229
                   2,            0.067242,            0.024915,            0.025592,              0.1484,             0.19344,            0.086697,            0.024461,            0.054329,             0.01838,            0.024519,           0.0098992,           0.0098737,           0.0098737
                   3,            0.059253,            0.023476,            0.025134,             0.17306,             0.35848,             0.14632,            0.055571,            0.047909,            0.018346,            0.023433,           0.0098144,           0.0098144,           0.0098144
                   4,            0.055745,            0.022832,            0.023856,             0.22766,              0.3739,             0.21936,            0.087288,            0.044481,            0.017465,            0.021899,           0.0098144,           0.0098144,           0.0098144
                   5,             0.05354,            0.022329,            0.022277,             0.27842,             0.35576,             0.25065,            0.089124,            0.047007,             0.01688,            0.020703,           0.0097525,           0.0097525,           0.0097525
                   6,            0.051703,            0.021758,             0.02052,             0.36193,               0.397,             0.31736,             0.12296,            0.042981,            0.016294,             0.02078,           0.0096906,           0.0096906,           0.0096906
                   7,            0.050565,            0.021569,            0.019352,             0.40273,             0.42713,             0.38399,             0.15819,            0.041214,            0.015815,            0.019115,           0.0096288,           0.0096288,           0.0096288
                   8,            0.050059,             0.02137,            0.018179,             0.47556,             0.43297,             0.40409,             0.17691,            0.039667,            0.015809,            0.020894,           0.0095669,           0.0095669,           0.0095669
                   9,            0.048242,            0.020868,            0.016465,             0.49057,             0.50945,             0.45076,             0.20869,             0.03905,               0.016,            0.020127,            0.009505,            0.009505,            0.009505
                  10,            0.047074,            0.020743,            0.015401,             0.52508,              0.5089,             0.49224,             0.22439,            0.038327,            0.014944,            0.019262,           0.0094431,           0.0094431,           0.0094431
                  11,            0.046405,            0.020324,            0.014291,             0.57883,             0.55159,             0.53753,             0.24799,            0.037402,            0.014253,            0.020017,           0.0093813,           0.0093813,           0.0093813
                  12,            0.045674,            0.019921,            0.013764,             0.58738,             0.52116,             0.52914,             0.26942,            0.036986,            0.014616,            0.019405,           0.0093194,           0.0093194,           0.0093194
                  13,             0.04489,            0.019642,            0.012792,             0.64297,             0.58807,             0.59338,             0.30252,            0.035592,            0.013857,            0.021132,           0.0092575,           0.0092575,           0.0092575
                  14,            0.043763,            0.019257,            0.012456,             0.60532,             0.59996,             0.56673,             0.27442,            0.035961,            0.014173,            0.019263,           0.0091956,           0.0091956,           0.0091956
                  15,             0.04347,            0.019002,            0.011486,             0.63919,             0.59294,             0.60136,             0.31172,            0.034655,            0.013558,            0.019044,           0.0091337,           0.0091337,           0.0091337
                  16,            0.042775,            0.018967,            0.011329,             0.65483,             0.60646,             0.61203,             0.33043,             0.03424,            0.013451,            0.019445,           0.0090719,           0.0090719,           0.0090719
                  17,             0.04241,            0.018846,             0.01099,             0.64166,             0.62167,             0.62253,             0.32702,            0.034214,            0.013127,            0.019716,             0.00901,             0.00901,             0.00901
                  18,            0.041845,            0.018531,            0.010296,             0.67274,             0.61759,             0.62784,             0.33789,            0.033166,            0.012906,            0.020035,           0.0089481,           0.0089481,           0.0089481
                  19,            0.040934,            0.018105,           0.0097892,             0.71798,              0.6398,              0.6816,             0.37174,            0.032439,             0.01253,            0.019707,           0.0088863,           0.0088863,           0.0088863
                  20,            0.040295,            0.018273,           0.0095466,              0.7174,             0.65092,             0.65819,             0.36348,            0.031619,            0.012651,             0.01914,           0.0088244,           0.0088244,           0.0088244
                  21,            0.039716,            0.018041,           0.0094357,             0.69167,             0.64222,             0.66575,             0.37422,            0.031636,            0.012482,            0.019648,           0.0087625,           0.0087625,           0.0087625
                  22,            0.039656,            0.017721,           0.0092338,             0.67997,             0.66854,             0.66846,             0.37535,            0.031518,            0.012561,            0.020972,           0.0087006,           0.0087006,           0.0087006
                  23,            0.039156,            0.017805,           0.0089654,              0.7213,             0.66838,              0.6793,             0.39564,            0.030423,            0.012084,            0.019913,           0.0086388,           0.0086388,           0.0086388
                  24,            0.038814,            0.017407,           0.0088562,             0.72038,             0.67072,             0.68962,             0.39609,            0.030713,            0.012142,             0.01984,           0.0085769,           0.0085769,           0.0085769
                  25,            0.038172,            0.017288,           0.0082423,             0.70257,             0.67611,             0.68725,             0.40324,             0.03021,            0.011988,             0.01987,            0.008515,            0.008515,            0.008515
                  26,            0.037822,            0.017566,           0.0080925,              0.7329,             0.68949,             0.70157,             0.42815,            0.029018,            0.011865,            0.020884,           0.0084531,           0.0084531,           0.0084531
                  27,            0.037276,            0.016909,           0.0077616,             0.72649,             0.69419,             0.71266,             0.42172,            0.029958,            0.011783,            0.019628,           0.0083913,           0.0083913,           0.0083913
                  28,            0.037193,            0.017111,           0.0078639,             0.75484,             0.67717,             0.70685,             0.42961,            0.028969,            0.011467,             0.02023,           0.0083294,           0.0083294,           0.0083294
                  29,            0.036517,            0.016963,           0.0074756,             0.75877,              0.7016,             0.72445,             0.42816,            0.029363,            0.011373,            0.019424,           0.0082675,           0.0082675,           0.0082675
                  30,            0.036505,            0.016819,           0.0073117,             0.73491,             0.70294,             0.73041,              0.4494,            0.028915,            0.011333,            0.021521,           0.0082056,           0.0082056,           0.0082056
